,relativity,se_log,relativity_se,p
state[T.LA],0.9473048943321686,0.06583678067528853,0.06236750456077436,0.4109347430608733
state[T.MA],0.8505021702874126,0.050672772118228564,0.043097302661032885,0.0013955564179869125
state[T.MB],0.27860681029323014,0.2663758382007169,0.0742141226202873,1.6061098901577178e-06
state[T.MC],1.4254312027110758e-11,41360.914338322094,5.895713787050425e-07,0.9995182326712101
state[T.MD],0.9610364896863066,0.03994221096324427,0.03838592221442618,0.3197313902322517
state[T.ME],0.8905432979536705,0.1069792464411186,0.09526965093827222,0.2785386916444482
state[T.MI],1.100430392506428,0.04154563014961773,0.04571807409247073,0.021249360756006856
state[T.MN],0.9966777969651996,0.03875731900889369,0.038628559326061615,0.9315770860048018
state[T.MO],1.079779731143838,0.040835511514880345,0.0440933576446586,0.06015379544951674
state[T.MR],3.178045064667135e-11,237713.57952468965,7.554644682127984e-06,0.9999188662209804
state[T.MS],0.9068576266497397,0.05500367554290836,0.049880502659854206,0.07548368084577443
state[T.MT],0.5051662218381885,0.09948408443176317,0.05025599906542515,6.691623417777413e-12
state[T.MX],0.21442398284552622,0.5512544436408674,0.11820217336676946,0.0052178852747283835
state[T.NB],0.6132477203331756,0.307512961252666,0.18858162246110158,0.11180497136452992
state[T.NC],1.088918240121193,0.030985975280230355,0.03374119367058723,0.00597519819692861
state[T.ND],0.5875501699564087,0.08838583620247406,0.051931113082502936,1.779764479916003e-09
state[T.NE],0.7126698331217516,0.0568812356249544,0.04053754070059529,2.598126605202142e-09
state[T.NH],0.5620395689009042,0.11760368189700814,0.06609792267455353,9.614829488497056e-07
state[T.NJ],1.281483575284072,0.03085314642405251,0.03953780038825779,9.081429750053284e-16
state[T.NL],0.03603264975732619,0.5105800705301299,0.018397552854483072,7.568810259364218e-11
state[T.NM],0.5185321363304342,0.08087729791412267,0.041937478068042995,4.647792417779357e-16
state[T.NS],0.2453565675056703,0.5213909478176095,0.12792669328505674,0.007043153159709167
state[T.NT],2.043628441724114e-11,361880.57571460184,7.39549437037857e-06,0.9999457309957611
state[T.NV],0.8488279388092943,0.06360412164352906,0.0539889554744524,0.009970295962707421
state[T.NY],0.7301181063077817,0.04546066315969188,0.03319165329765018,4.543741988794883e-12
state[T.OH],1.1696035097398352,0.029469510700883685,0.03446764314606919,1.0597647592419528e-07
state[T.OK],1.0163949759747444,0.05329709433973929,0.054170898920962995,0.7602744725202257
state[T.ON],0.4032403060707926,0.08080456012379118,0.03258365555623332,2.601344416980908e-29
state[T.OR],0.7552408787789945,0.05648142372190465,0.04265708008642001,6.691708490092754e-07
state[T.PA],1.078517116960443,0.029007043827196936,0.03128459328005365,0.009165532546885005
state[T.PE],0.24564886730030674,1.2059805186994181,0.2962477484047485,0.2443934983293874
state[T.PR],2.2451621912939224e-11,67998.62793540827,1.5266794850044134e-06,0.9997122904251029
state[T.PU],2.181786323754645e-11,63967.60568744959,1.3956364725220738e-06,0.9996938027843443
