state,unit_years,crashes,fatal,inj,crash_rate,fatal_share
NJ,50147.75222450376,2476.0,47.0,1047.0,0.049374097345686194,0.018982229402261713
NL,2956.2121834360028,4.0,0.0,2.0,0.0013530828478457875,0.0
NM,11134.590006844626,221.0,21.0,79.0,0.019848059054185872,0.09502262443438914
NS,507.2861054072553,5.0,0.0,0.0,0.00985637088558919,0.0
NT,3.0,0.0,0.0,0.0,0.0,
NV,12374.557152635181,412.0,11.0,130.0,0.033294120744536214,0.02669902912621359
NY,29246.290212183438,822.0,14.0,397.0,0.028106128812794545,0.0170316301703163
OH,64386.1279945243,2808.0,73.0,882.0,0.04361187863694499,0.025997150997150997
OK,16884.629021218345,653.0,27.0,234.0,0.03867422844644066,0.04134762633996937
ON,14415.15537303217,219.0,7.0,74.0,0.015192344052683923,0.0319634703196347
OR,17462.609171800137,522.0,13.0,135.0,0.029892440176864446,0.02490421455938697
PA,67858.01232032855,2761.0,59.0,978.0,0.04068789971280774,0.021369069177834116
PE,85.8952772073922,1.0,0.0,0.0,0.011642083622194066,0.0
PR,99.62765229295003,0.0,0.0,0.0,0.0,
PU,115.48870636550308,0.0,0.0,0.0,0.0,
QC,5158.025325119781,91.0,2.0,27.0,0.01764241046991889,0.02197802197802198
QE,174.1731690622861,0.0,0.0,0.0,0.0,
RI,4349.80013689254,111.0,0.0,49.0,0.025518413836663645,0.0
SC,24368.361396303902,869.0,26.0,339.0,0.03566099442910456,0.02991944764096663
SD,8754.337440109513,192.0,10.0,35.0,0.02193198529454882,0.052083333333333336
SI,192.82067077344286,0.0,0.0,0.0,0.0,
SK,1026.3093771389458,16.0,0.0,4.0,0.015589840993758996,0.0
SL,135.97535934291582,0.0,0.0,0.0,0.0,
SO,1428.0862422997948,3.0,0.0,0.0,0.0021007134661340833,0.0
SV,6.0,0.0,0.0,0.0,0.0,
TA,10503.636550308009,47.0,0.0,24.0,0.0044746407375093125,0.0
TB,19.741273100616016,0.0,0.0,0.0,0.0,
TL,4.604380561259411,0.0,0.0,0.0,0.0,
TN,29773.932238193018,1067.0,37.0,358.0,0.035836717550908094,0.03467666354264293
TX,141890.44010951402,5773.0,175.0,2129.0,0.04068632104843904,0.030313528494716784
UT,15025.568788501027,425.0,11.0,158.0,0.028285118918443194,0.02588235294117647
VA,31792.867214236823,1365.0,31.0,467.0,0.04293415849542359,0.02271062271062271
VC,160.45790554414785,0.0,0.0,0.0,0.0,
VI,10.030116358658454,0.0,0.0,0.0,0.0,
VT,2913.6892539356604,49.0,0.0,20.0,0.016817167422302614,0.0
WA,36547.616016427106,1210.0,31.0,307.0,0.033107494602551905,0.0256198347107438
WI,23776.56605065024,739.0,16.0,210.0,0.03108102315640277,0.02165087956698241
WV,5885.091718001369,163.0,5.0,59.0,0.027697104448077537,0.03067484662576687
WY,6084.94250513347,120.0,4.0,27.0,0.01972081082093443,0.03333333333333333
YT,31.509924709103352,0.0,0.0,0.0,0.0,
ZA,14.130047912388775,0.0,0.0,0.0,0.0,
