,relativity,se_log,relativity_se,p
state[T.OK],0.9973340454611441,0.057995587989633376,0.057840974388598795,0.9632866464230931
state[T.ON],0.40668933769323934,0.08716339966330448,0.03544842528016042,5.600943919882586e-25
state[T.OR],0.7351226436656356,0.06063825629231835,0.04457655527288343,3.8820974738772826e-07
state[T.PA],1.0647214069559274,0.03133597331263124,0.03336408159375813,0.045358379339796064
state[T.PE],0.2627563152018501,1.2203171302067153,0.32064603251081286,0.27341577664188277
state[T.PR],3.4651191232997644e-11,61259.425087454016,2.1227120535288624e-06,0.9996862915563393
state[T.PU],5.429893580355094e-11,43201.48220866109,2.3457945090663366e-06,0.9995634591761304
state[T.QC],0.4713973647725313,0.12667362229943496,0.0597136117381446,2.9038831300005577e-09
state[T.QE],3.921671932911047e-11,39653.56904062098,1.5550828874635373e-06,0.9995178531548158
state[T.RI],0.6555482598832514,0.12778723944253143,0.08377070245183586,0.0009511829445381094
state[T.SC],0.9369525991497456,0.048710093100079115,0.04563904833494522,0.18124145843651618
state[T.SD],0.5142321365964088,0.09486441748708203,0.048782332091355914,2.3686947157294694e-12
state[T.SI],3.697722864354121e-11,39876.93791753629,1.4745386509810376e-06,0.9995193773509324
state[T.SK],0.4369350277542221,0.31551010451744366,0.13785741627406675,0.008684536732407362
state[T.SL],4.374765049052572e-11,42490.97688609726,1.8588804058139898e-06,0.9995521023927476
state[T.SO],0.0609033869482031,0.594645292877636,0.03621591236905423,2.5248762473505985e-06
state[T.SV],4.0645020384117393e-11,206611.60402690442,8.39773285726872e-06,0.9999076029559303
state[T.TA],0.12318562351000366,0.16130400254832716,0.0198703341285749,1.5460532434455864e-38
state[T.TB],3.2637115842920785e-11,130702.29527839323,4.265745951936558e-06,0.9998526010723525
state[T.TL],6.64143314375335e-11,206611.92056482652,1.3721992571337731e-05,0.9999094993601507
state[T.TN],0.9447638985296527,0.04563959232375716,0.043118639171096824,0.21314034333748555
state[T.TX],1.0819163581315634,0.024370173674395125,0.026366489548835276,0.0012346701609794854
state[T.UT],0.7020411132959964,0.06744360331920084,0.04734818235890531,1.5601093991523932e-07
state[T.VA],1.1490830029796155,0.04169176185203633,0.04790729490844888,0.0008587352351309905
state[T.VC],4.189627410624987e-11,40085.19075223635,1.6794201393570065e-06,0.9995243603005769
state[T.VI],6.641399814297358e-11,146096.72072077027,9.702867338643767e-06,0.9998720127674093
state[T.VT],0.4415755563348627,0.17926188515567956,0.07915766666725546,5.119176203712884e-06
state[T.WA],0.8289357072990887,0.041978595052335976,0.03479755638113015,7.84956947428779e-06
state[T.WI],0.7705074288622182,0.052771307985107346,0.040660684833301305,7.800330004039133e-07
state[T.WV],0.6851176127181778,0.10813718355931448,0.07408668904622492,0.0004703746156795049
state[T.WY],0.5396768679312167,0.1152357516848906,0.062190069543001186,8.680828786152057e-08
state[T.YT],5.400049110098817e-11,81569.86331363076,4.404812677976539e-06,0.9997687429146395
state[T.ZA],5.6862110793673175e-11,114510.80712870168,6.511326202025175e-06,0.9998356276598747
